consensus,mec_count,mec_id,n_runs,mean_ms,median_ms,std_ms,min_ms,p25_ms,p75_ms,p95_ms,max_ms
qbft,10,4,20,1999.40,1922.50,345.91,1866.00,1878.00,1950.00,2033.00,3458.00
qbft,10,5,20,1991.75,1910.50,347.99,1811.00,1886.00,1963.00,2021.00,3456.00
qbft,10,6,20,1980.65,1904.50,339.32,1829.00,1884.00,1926.00,2001.00,3411.00
qbft,10,7,20,1996.70,1932.50,346.29,1835.00,1895.00,1942.00,1981.00,3460.00
qbft,10,8,20,2005.00,1935.00,341.28,1818.00,1887.00,1953.00,2048.00,3438.00
qbft,10,9,20,1964.65,1888.50,330.89,1833.00,1854.00,1935.00,1977.00,3359.00
qbft,10,10,20,1962.10,1868.00,336.85,1818.00,1855.00,1927.00,1983.00,3381.00
qbft,20,1,20,1653.90,1747.50,299.78,414.00,1653.00,1761.00,1812.00,1849.00
qbft,20,2,20,1955.35,1749.00,820.74,1612.00,1729.00,1835.00,1947.00,5426.00
qbft,20,3,20,1885.90,1776.50,864.56,718.00,1670.00,1788.00,1901.00,5412.00
qbft,20,4,20,1967.15,1774.00,817.80,1634.00,1731.00,1839.00,1973.00,5426.00
qbft,20,5,20,1964.80,1778.00,819.34,1683.00,1737.00,1818.00,1964.00,5432.00
qbft,20,6,20,1700.20,1756.00,317.87,376.00,1713.00,1805.00,1880.00,1907.00
qbft,20,7,20,1986.25,1813.50,818.05,1649.00,1734.00,1859.00,1963.00,5444.00
qbft,20,8,20,1897.35,1759.50,862.25,812.00,1700.00,1801.00,1870.00,5440.00
qbft,20,9,20,1904.80,1703.00,828.06,1592.00,1685.00,1738.00,1896.00,5412.00
qbft,20,10,20,1900.40,1702.50,828.53,1582.00,1689.00,1784.00,1846.00,5410.00
qbft,20,11,20,1655.30,1735.50,302.89,404.00,1638.00,1752.00,1853.00,1871.00
qbft,20,12,20,1656.35,1707.00,299.42,421.00,1690.00,1747.00,1827.00,1890.00
qbft,20,13,20,2104.85,1927.00,827.67,1787.00,1847.00,1964.00,2085.00,5604.00
qbft,20,14,20,2095.35,1920.50,804.19,1805.00,1845.00,1994.00,2061.00,5494.00
qbft,20,15,20,2110.35,1925.50,815.55,1716.00,1891.00,1971.00,2093.00,5555.00
qbft,20,16,20,1903.10,1713.00,834.61,1614.00,1674.00,1754.00,1859.00,5437.00
qbft,20,17,20,1605.00,1702.50,347.51,428.00,1636.00,1743.00,1821.00,1841.00
qbft,20,18,20,1652.90,1707.00,301.54,398.00,1683.00,1725.00,1820.00,1828.00
qbft,20,19,20,1641.95,1706.50,297.72,409.00,1627.00,1727.00,1809.00,1827.00
qbft,20,20,20,1656.15,1708.00,322.39,321.00,1690.00,1731.00,1844.00,1902.00
qbft,30,1,20,1667.85,1499.50,874.14,625.00,1462.00,1568.00,1729.00,5265.00
qbft,30,2,20,1810.05,1649.50,879.75,603.00,1597.00,1793.00,1882.00,5375.00
qbft,30,3,20,1836.95,1630.50,834.98,1425.00,1586.00,1745.00,1887.00,5355.00
qbft,30,4,20,1855.70,1668.50,806.07,1568.00,1608.00,1728.00,1822.00,5267.00
qbft,30,5,20,1832.80,1678.00,846.21,1472.00,1555.00,1715.00,1771.00,5409.00
qbft,30,6,20,1844.15,1679.50,844.96,1526.00,1592.00,1725.00,1745.00,5421.00
qbft,30,7,20,1838.95,1656.00,854.35,1509.00,1578.00,1704.00,1803.00,5453.00
qbft,30,8,20,1782.70,1636.50,885.69,541.00,1558.00,1735.00,1859.00,5369.00
qbft,30,9,20,1722.40,1516.00,822.81,1398.00,1491.00,1586.00,1705.00,5202.00
qbft,30,10,20,1715.40,1512.50,846.56,1379.00,1483.00,1612.00,1705.00,5292.00
qbft,30,11,20,1684.40,1519.50,844.50,1320.00,1415.00,1533.00,1645.00,5250.00
qbft,30,12,20,1678.80,1537.50,875.95,493.00,1476.00,1614.00,1657.00,5248.00
qbft,30,13,20,2088.65,1860.00,868.31,1732.00,1818.00,2031.00,2088.00,5748.00
qbft,30,14,20,2087.90,1914.50,848.57,1742.00,1796.00,2002.00,2081.00,5664.00
qbft,30,15,20,2073.05,1858.00,867.84,1725.00,1788.00,1986.00,2091.00,5728.00
qbft,30,16,20,1727.40,1529.50,822.54,1371.00,1491.00,1596.00,1698.00,5205.00
qbft,30,17,20,1726.50,1534.00,845.27,1369.00,1473.00,1606.00,1677.00,5298.00
qbft,30,18,20,1733.35,1535.50,829.58,1379.00,1481.00,1614.00,1760.00,5238.00
qbft,30,19,20,1735.60,1546.00,829.25,1362.00,1478.00,1629.00,1747.00,5234.00
qbft,30,20,20,1657.95,1503.50,877.08,515.00,1422.00,1603.00,1692.00,5239.00
qbft,30,21,20,1814.75,1646.50,847.05,1450.00,1546.00,1710.00,1782.00,5392.00
qbft,30,22,20,1750.80,1611.50,883.58,711.00,1508.00,1694.00,1757.00,5383.00
qbft,30,23,20,1794.55,1600.50,863.52,1440.00,1530.00,1659.00,1851.00,5439.00
qbft,30,24,20,1792.05,1609.50,830.63,1412.00,1531.00,1690.00,1779.00,5299.00
qbft,30,25,20,1787.50,1623.50,836.99,1397.00,1518.00,1704.00,1757.00,5316.00
qbft,30,26,20,1791.55,1617.00,826.28,1466.00,1514.00,1670.00,1757.00,5282.00
qbft,30,27,20,1802.55,1614.50,823.33,1377.00,1580.00,1702.00,1733.00,5282.00
qbft,30,28,20,1792.40,1634.00,833.86,1430.00,1539.00,1664.00,1725.00,5319.00
qbft,30,29,20,1801.70,1602.50,836.16,1481.00,1562.00,1670.00,1772.00,5336.00
qbft,30,30,20,1793.35,1636.00,822.13,1439.00,1511.00,1665.00,1739.00,5265.00
