consensus,mec_count,consumer_id,run_id,service_id,phase,value_ms,has_success,aggregation
clique,10,2,16,service7da2b4ae,bid_collection,9480,1,per_service
clique,10,2,16,service7da2b4ae,winner_selection,339,1,per_service
clique,10,2,16,service7da2b4ae,provider_deploy,9479,1,per_service
clique,10,2,16,service7da2b4ae,vxlan_setup,471,1,per_service
clique,10,2,16,service7da2b4ae,postcheck,1109,1,per_service
clique,10,2,16,service7da2b4ae,total,20878,1,per_service
clique,10,2,17,serviceea5f8e36,bid_collection,9887,1,per_service
clique,10,2,17,serviceea5f8e36,winner_selection,308,1,per_service
clique,10,2,17,serviceea5f8e36,provider_deploy,9444,1,per_service
clique,10,2,17,serviceea5f8e36,vxlan_setup,488,1,per_service
clique,10,2,17,serviceea5f8e36,postcheck,1104,1,per_service
clique,10,2,17,serviceea5f8e36,total,21231,1,per_service
clique,10,2,18,service535ef787,bid_collection,6021,1,per_service
clique,10,2,18,service535ef787,winner_selection,346,1,per_service
clique,10,2,18,service535ef787,provider_deploy,9617,1,per_service
clique,10,2,18,service535ef787,vxlan_setup,468,1,per_service
clique,10,2,18,service535ef787,postcheck,1099,1,per_service
clique,10,2,18,service535ef787,total,17551,1,per_service
clique,10,2,19,service3a9874d2,bid_collection,9506,1,per_service
clique,10,2,19,service3a9874d2,winner_selection,315,1,per_service
clique,10,2,19,service3a9874d2,provider_deploy,14530,1,per_service
clique,10,2,19,service3a9874d2,vxlan_setup,338,1,per_service
clique,10,2,19,service3a9874d2,postcheck,1076,1,per_service
clique,10,2,19,service3a9874d2,total,25765,1,per_service
clique,10,2,2,service08cc3b43,bid_collection,7466,1,per_service
clique,10,2,2,service08cc3b43,winner_selection,335,1,per_service
clique,10,2,2,service08cc3b43,provider_deploy,9482,1,per_service
clique,10,2,2,service08cc3b43,vxlan_setup,481,1,per_service
clique,10,2,2,service08cc3b43,postcheck,1128,1,per_service
clique,10,2,2,service08cc3b43,total,18893,1,per_service
clique,10,2,20,service3c6a8262,bid_collection,5612,1,per_service
clique,10,2,20,service3c6a8262,winner_selection,322,1,per_service
clique,10,2,20,service3c6a8262,provider_deploy,9629,1,per_service
clique,10,2,20,service3c6a8262,vxlan_setup,476,1,per_service
clique,10,2,20,service3c6a8262,postcheck,1101,1,per_service
clique,10,2,20,service3c6a8262,total,17141,1,per_service
clique,10,2,3,service5d592b35,bid_collection,3975,1,per_service
clique,10,2,3,service5d592b35,winner_selection,424,1,per_service
clique,10,2,3,service5d592b35,provider_deploy,9228,1,per_service
clique,10,2,3,service5d592b35,vxlan_setup,406,1,per_service
clique,10,2,3,service5d592b35,postcheck,1105,1,per_service
clique,10,2,3,service5d592b35,total,15139,1,per_service
clique,10,2,4,service132b785c,bid_collection,9752,1,per_service
clique,10,2,4,service132b785c,winner_selection,338,1,per_service
clique,10,2,4,service132b785c,provider_deploy,9055,1,per_service
clique,10,2,4,service132b785c,vxlan_setup,502,1,per_service
clique,10,2,4,service132b785c,postcheck,1084,1,per_service
clique,10,2,4,service132b785c,total,20732,1,per_service
clique,10,2,5,servicec37c6466,bid_collection,4584,1,per_service
clique,10,2,5,servicec37c6466,winner_selection,331,1,per_service
clique,10,2,5,servicec37c6466,provider_deploy,9685,1,per_service
clique,10,2,5,servicec37c6466,vxlan_setup,440,1,per_service
clique,10,2,5,servicec37c6466,postcheck,1120,1,per_service
clique,10,2,5,servicec37c6466,total,16160,1,per_service
clique,10,2,6,servicefa343177,bid_collection,5819,1,per_service
clique,10,2,6,servicefa343177,winner_selection,326,1,per_service
clique,10,2,6,servicefa343177,provider_deploy,9654,1,per_service
clique,10,2,6,servicefa343177,vxlan_setup,480,1,per_service
clique,10,2,6,servicefa343177,postcheck,1107,1,per_service
clique,10,2,6,servicefa343177,total,17386,1,per_service
clique,10,2,7,servicef17c0a04,bid_collection,9318,1,per_service
clique,10,2,7,servicef17c0a04,winner_selection,343,1,per_service
clique,10,2,7,servicef17c0a04,provider_deploy,14562,1,per_service
clique,10,2,7,servicef17c0a04,vxlan_setup,355,1,per_service
clique,10,2,7,servicef17c0a04,postcheck,1091,1,per_service
clique,10,2,7,servicef17c0a04,total,25670,1,per_service
clique,10,2,8,servicef5140258,bid_collection,8704,1,per_service
clique,10,2,8,servicef5140258,winner_selection,339,1,per_service
clique,10,2,8,servicef5140258,provider_deploy,9658,1,per_service
clique,10,2,8,servicef5140258,vxlan_setup,480,1,per_service
clique,10,2,8,servicef5140258,postcheck,1102,1,per_service
clique,10,2,8,servicef5140258,total,20288,1,per_service
clique,10,2,9,service25f3f445,bid_collection,6217,1,per_service
clique,10,2,9,service25f3f445,winner_selection,359,1,per_service
clique,10,2,9,service25f3f445,provider_deploy,9446,1,per_service
clique,10,2,9,service25f3f445,vxlan_setup,478,1,per_service
clique,10,2,9,service25f3f445,postcheck,1110,1,per_service
clique,10,2,9,service25f3f445,total,17610,1,per_service
clique,10,3,1,serviceaa1403a2,bid_collection,7143,1,per_service
clique,10,3,1,serviceaa1403a2,winner_selection,340,1,per_service
clique,10,3,1,serviceaa1403a2,provider_deploy,9292,1,per_service
clique,10,3,1,serviceaa1403a2,vxlan_setup,501,1,per_service
clique,10,3,1,serviceaa1403a2,postcheck,1078,1,per_service
clique,10,3,1,serviceaa1403a2,total,18355,1,per_service
clique,10,3,10,servicec8741af7,bid_collection,7817,1,per_service
clique,10,3,10,servicec8741af7,winner_selection,284,1,per_service
clique,10,3,10,servicec8741af7,provider_deploy,9786,1,per_service
clique,10,3,10,servicec8741af7,vxlan_setup,393,1,per_service
clique,10,3,10,servicec8741af7,postcheck,1078,1,per_service
clique,10,3,10,servicec8741af7,total,19359,1,per_service
clique,10,3,11,service46985663,bid_collection,5575,1,per_service
clique,10,3,11,service46985663,winner_selection,320,1,per_service
