consensus,mec_count,provider_id,run_id,phase,value_ms,won_any,aggregation
clique,20,4,1,announce_wait,284,0,per_run
clique,20,4,1,bid_sending,2490,0,per_run
clique,20,4,1,winner_wait,7106,0,per_run
clique,20,4,10,announce_wait,179,0,per_run
clique,20,4,10,bid_sending,1656,0,per_run
clique,20,4,10,winner_wait,8138,0,per_run
clique,20,4,11,announce_wait,173,1,per_run
clique,20,4,11,bid_sending,1707,1,per_run
clique,20,4,11,winner_wait,8273,1,per_run
clique,20,4,11,confirm_all,32042,1,per_run
clique,20,4,12,announce_wait,173,0,per_run
clique,20,4,12,bid_sending,1555,0,per_run
clique,20,4,12,winner_wait,8079,0,per_run
clique,20,4,13,announce_wait,177,1,per_run
clique,20,4,13,bid_sending,1724,1,per_run
clique,20,4,13,winner_wait,8276,1,per_run
clique,20,4,13,confirm_all,33569,1,per_run
clique,20,4,14,announce_wait,5150,0,per_run
clique,20,4,14,bid_sending,1610,0,per_run
clique,20,4,14,winner_wait,8513,0,per_run
clique,20,4,15,announce_wait,169,0,per_run
clique,20,4,15,bid_sending,1532,0,per_run
clique,20,4,15,winner_wait,8356,0,per_run
clique,20,4,16,announce_wait,166,0,per_run
clique,20,4,16,bid_sending,1452,0,per_run
clique,20,4,16,winner_wait,8655,0,per_run
clique,20,4,17,announce_wait,4900,1,per_run
clique,20,4,17,bid_sending,1599,1,per_run
clique,20,4,17,winner_wait,8498,1,per_run
clique,20,4,17,confirm_all,32556,1,per_run
clique,20,4,18,announce_wait,141,0,per_run
clique,20,4,18,bid_sending,1520,0,per_run
clique,20,4,18,winner_wait,8556,0,per_run
clique,20,4,19,announce_wait,144,0,per_run
clique,20,4,19,bid_sending,1426,0,per_run
clique,20,4,19,winner_wait,8566,0,per_run
clique,20,4,2,announce_wait,214,0,per_run
clique,20,4,2,bid_sending,2014,0,per_run
clique,20,4,2,winner_wait,7871,0,per_run
clique,20,4,20,announce_wait,182,0,per_run
clique,20,4,20,bid_sending,1442,0,per_run
clique,20,4,20,winner_wait,8507,0,per_run
clique,20,4,3,announce_wait,174,0,per_run
clique,20,4,3,bid_sending,1927,0,per_run
clique,20,4,3,winner_wait,7822,0,per_run
clique,20,4,4,announce_wait,4988,0,per_run
clique,20,4,4,bid_sending,1818,0,per_run
clique,20,4,4,winner_wait,8160,0,per_run
clique,20,4,5,announce_wait,173,0,per_run
clique,20,4,5,bid_sending,1771,0,per_run
clique,20,4,5,winner_wait,8491,0,per_run
clique,20,4,6,announce_wait,174,0,per_run
clique,20,4,6,bid_sending,1927,0,per_run
clique,20,4,6,winner_wait,7822,0,per_run
clique,20,4,7,announce_wait,174,0,per_run
clique,20,4,7,bid_sending,1927,0,per_run
clique,20,4,7,winner_wait,7822,0,per_run
clique,20,4,8,announce_wait,174,0,per_run
clique,20,4,8,bid_sending,1927,0,per_run
clique,20,4,8,winner_wait,7822,0,per_run
clique,20,4,9,announce_wait,185,0,per_run
clique,20,4,9,bid_sending,1738,0,per_run
clique,20,4,9,winner_wait,8188,0,per_run
clique,30,1,1,announce_wait,354,0,per_run
clique,30,1,1,bid_sending,3108,0,per_run
clique,30,1,1,winner_wait,6747,0,per_run
clique,30,1,10,announce_wait,371,1,per_run
clique,30,1,10,bid_sending,2937,1,per_run
clique,30,1,10,winner_wait,7121,1,per_run
clique,30,1,10,confirm_all,20336,1,per_run
clique,30,1,11,announce_wait,290,0,per_run
clique,30,1,11,bid_sending,2722,0,per_run
clique,30,1,11,winner_wait,7454,0,per_run
clique,30,1,12,announce_wait,369,0,per_run
clique,30,1,12,bid_sending,3085,0,per_run
clique,30,1,12,winner_wait,6855,0,per_run
