consensus,mec_count,provider_id,run_id,file,won_any,p_announce_wait_ms,p_bid_sending_ms,p_winner_wait_ms,p_confirm_all_ms
clique,30,2,4,clique/30-mecs/provider_2_run_4.csv,0,353,2967,7330,
clique,30,2,5,clique/30-mecs/provider_2_run_5.csv,0,357,2876,7247,
clique,30,2,6,clique/30-mecs/provider_2_run_6.csv,0,355,3361,6643,
clique,30,2,7,clique/30-mecs/provider_2_run_7.csv,0,313,3000,6957,
clique,30,2,8,clique/30-mecs/provider_2_run_8.csv,0,294,3396,6769,
clique,30,2,9,clique/30-mecs/provider_2_run_9.csv,0,324,3082,9296,
clique,30,3,1,clique/30-mecs/provider_3_run_1.csv,0,410,3013,7009,
clique,30,3,10,clique/30-mecs/provider_3_run_10.csv,0,298,3096,7188,
clique,30,3,11,clique/30-mecs/provider_3_run_11.csv,1,439,2787,7040,19289
clique,30,3,12,clique/30-mecs/provider_3_run_12.csv,1,395,3342,6702,19943
clique,30,3,13,clique/30-mecs/provider_3_run_13.csv,0,362,2991,6932,
clique,30,3,14,clique/30-mecs/provider_3_run_14.csv,0,342,3175,6695,
clique,30,3,15,clique/30-mecs/provider_3_run_15.csv,0,293,3399,6600,
clique,30,3,16,clique/30-mecs/provider_3_run_16.csv,0,309,3171,6989,
clique,30,3,17,clique/30-mecs/provider_3_run_17.csv,0,299,3179,7060,
clique,30,3,18,clique/30-mecs/provider_3_run_18.csv,0,363,2909,7140,
clique,30,3,19,clique/30-mecs/provider_3_run_19.csv,0,338,2991,6409,
clique,30,3,2,clique/30-mecs/provider_3_run_2.csv,0,374,3100,6924,
clique,30,3,20,clique/30-mecs/provider_3_run_20.csv,0,303,3024,6823,
clique,30,3,3,clique/30-mecs/provider_3_run_3.csv,0,341,2972,7104,
clique,30,3,4,clique/30-mecs/provider_3_run_4.csv,0,276,2871,7463,
clique,30,3,5,clique/30-mecs/provider_3_run_5.csv,0,374,3100,6924,
clique,30,3,6,clique/30-mecs/provider_3_run_6.csv,0,340,3146,7162,
clique,30,3,7,clique/30-mecs/provider_3_run_7.csv,0,293,3012,7153,
