consensus,mec_count,consumer_id,run_id,file,service_id,has_success,c_bid_collection_ms,c_winner_selection_ms,c_provider_deploy_ms,c_vxlan_setup_ms,c_postcheck_ms,c_total_ms
clique,10,6,9,clique/10-mecs/consumer_6_run_9.csv,service1757681746343,1,15696,94,19919,289,1079,37078
clique,10,7,1,clique/10-mecs/consumer_7_run_1.csv,service1757681150222,1,6537,180,19857,372,1078,28025
clique,10,7,10,clique/10-mecs/consumer_7_run_10.csv,service1757681817893,1,9388,201,19733,476,1089,30887
clique,10,7,11,clique/10-mecs/consumer_7_run_11.csv,service1757681891166,1,9968,162,19843,349,1098,31421
clique,10,7,12,clique/10-mecs/consumer_7_run_12.csv,service1757681965376,1,6180,198,19823,430,1069,27700
clique,10,7,13,clique/10-mecs/consumer_7_run_13.csv,service1757682036850,1,5415,192,19801,428,1086,26923
clique,10,7,14,clique/10-mecs/consumer_7_run_14.csv,service1757682109462,1,7864,167,19784,376,1099,29292
clique,10,7,15,clique/10-mecs/consumer_7_run_15.csv,service1757682181370,1,10100,171,19769,339,1135,31515
clique,10,7,16,clique/10-mecs/consumer_7_run_16.csv,service1757682258194,1,8848,156,19824,351,1101,30280
clique,10,7,17,clique/10-mecs/consumer_7_run_17.csv,service1757682331327,1,10139,137,19794,353,1162,31586
clique,10,7,18,clique/10-mecs/consumer_7_run_18.csv,service1757682402764,1,9529,177,19836,368,1089,30999
clique,10,7,19,clique/10-mecs/consumer_7_run_19.csv,service1757682476863,1,14976,133,19915,370,1126,36520
clique,10,7,2,clique/10-mecs/consumer_7_run_2.csv,service1757681222848,1,9846,174,19732,340,1090,31182
clique,10,7,20,clique/10-mecs/consumer_7_run_20.csv,service1757682553345,1,13721,167,19849,352,1090,35179
clique,10,7,3,clique/10-mecs/consumer_7_run_3.csv,service1757681297535,1,9652,177,19612,410,1077,30929
clique,10,7,4,clique/10-mecs/consumer_7_run_4.csv,service1757681372138,1,14968,168,19760,375,1150,36422
clique,10,7,5,clique/10-mecs/consumer_7_run_5.csv,service1757681446684,1,20156,118,19827,275,1093,41469
clique,10,7,6,clique/10-mecs/consumer_7_run_6.csv,service1757681522336,1,14532,143,19831,435,1086,36028
clique,10,7,7,clique/10-mecs/consumer_7_run_7.csv,service1757681597671,1,9768,179,19799,399,1111,31257
clique,10,7,8,clique/10-mecs/consumer_7_run_8.csv,service1757681672525,1,14496,241,19729,367,1085,35919
clique,10,7,9,clique/10-mecs/consumer_7_run_9.csv,service1757681746316,1,5575,176,19838,363,1081,27033
clique,10,8,1,clique/10-mecs/consumer_8_run_1.csv,service1757681150353,1,11649,179,19778,324,1102,33033
clique,10,8,10,clique/10-mecs/consumer_8_run_10.csv,service1757681817690,1,14565,181,19655,368,1098,35868
